sku_id	sku_name	rating	review	post_date	username
CER0576	CeraVe - CeraVe Moisturizing Cream	3	Skin feels super hydrated after using this cream daily. Poora din moisture milta hai, especially in AC rooms—bilkul sahi choice for dry skin!	2025-09-13	Kavitha Reddy
CER0576	CeraVe - CeraVe Moisturizing Cream	4	"""Skin feels super hydrated, especially in winter. Pura din dry nahi hota, bilkul sahi choice!"""	2025-12-18	Arjun Kapoor
CER0576	CeraVe - CeraVe Moisturizing Cream	5	Recently started using this cream, and my skin feels super hydrated all day. AC rooms mein bhi dryness nahi mehsoos hoti, sahi choice hai!	2025-12-05	Khalid Hassan
CER0576	CeraVe - CeraVe Moisturizing Cream	3	Skin feels so hydrated after using this cream! Bahar ki thand ho ya AC, protection milega bilkul.	2025-09-15	Zara Ansari
CER0576	CeraVe - CeraVe Moisturizing Cream	3	Skin ko dhang se hydrate karta hai, ab toh use karna hi hai roz. AC me bhi bilkul dryness nahi mehsoos hoti, achha kaam kiya!	2025-10-09	Pooja Kumar
CER0576	CeraVe - CeraVe Moisturizing Cream	5	Moisturizing cream se skin bahut soft ho gayi hai, AC mein bhi dryness nahi hoti. Thoda pricey hai par benefit accha hai.	2025-10-05	Robert Garcia
CER0576	CeraVe - CeraVe Moisturizing Cream	4	Cream lagaane ke baad skin bilkul smooth feel hoti hai. AC rooms mein bhi dryness nahi hoti, daily use karne se mujhe kaafi farq mehsoos hua hai.	2025-12-31	Priya Kapoor
CER0576	CeraVe - CeraVe Moisturizing Cream	4	Skin ko intensive hydration chahiye tha, aur yeh cream bilkul perfect hai. AC mein bhi skin tight aur dry feel nahi hoti, sach mein kaam ki cheez hai!	2025-10-12	Layla Khan
CER0576	CeraVe - CeraVe Moisturizing Cream	4	Sahi hydration milta hai is cream se, skin bilkul soft ho gayi hai after using it for a week. Koi bhi dryness nahi hai, especially after long hours in AC!	2025-10-25	Neha Sharma
CER0576	CeraVe - CeraVe Moisturizing Cream	5	Moisturizer kaafi accha hai, skin ko achi hydration milti hai. AC room mein bhi skin dry nahi hoti, bilkul satisfied with results!	2025-11-20	Fatima Hussain
CER0576	CeraVe - CeraVe Moisturizing Cream	3	Skin feels so soft now, no dryness! Perfect for my sensitive skin.	2025-12-24	Amit Patel
CER0576	CeraVe - CeraVe Moisturizing Cream	5	Skin ka hydration level sahi raha, bilkul soft ban gaya! Perfect for daily use, even in winter.	2025-10-18	Noor Ahmed
CER0576	CeraVe - CeraVe Moisturizing Cream	5	"""Skin feels super soft after using this cream, even in the dry climate. 👌 Iska texture light hai, bilkul greasy nahi lagta, daily use ke liye best!"""	2025-10-23	Khalid Hussain
CER0576	CeraVe - CeraVe Moisturizing Cream	5	Skin feels super soft after using this cream, even in dry weather. Thoda heavy hai par hydration excellent hai, definitely worth it!	2025-10-30	Rahul
CER0576	CeraVe - CeraVe Moisturizing Cream	5	Skin has never felt so soft! Hydration milta hai, even in the winter.	2025-11-06	Sarah Smith
CER0576	CeraVe - CeraVe Moisturizing Cream	5	Finally found a cream that keeps my skin hydrated all day, even in harsh winters. Lagta hai essential ceramides ka kaam hai, skin bilkul bhi tight feel nahi hoti!	2025-09-01	Arjun Kumar
CER0576	CeraVe - CeraVe Moisturizing Cream	4	"""Skin feels soft and hydrated all day, bilkul satisfied!"""	2025-10-21	James Martinez
